,logRMSE,RMSE,CC,MAE,Relative Bias,Y,X
86,2.104811049,8.205552412,0.746387907,4.777714288,-0.002189331,29.76716,-95.728164
87,2.097986363,8.149742756,0.686441331,4.334924376,-0.000576036,29.785685,-95.827024
88,2.289671051,9.871689865,0.628212515,5.426655439,-0.002459319,29.831083,-95.836824
89,2.183985593,8.881634393,0.562655377,4.614722684,-0.003046772,29.888456,-95.940939
91,2.098518461,8.154080375,0.718389326,4.864840311,-0.001976086,29.895138,-95.696832
92,2.143010414,8.525063003,0.638339031,5.257512611,-0.00209735,29.802411,-95.703888
93,2.130633292,8.420197565,0.723924732,4.931092489,-0.002131749,29.816945,-95.74048
94,2.096511446,8.137731418,0.74115106,4.644773072,-0.001943129,29.875125,-95.769477
95,2.093333159,8.111908437,0.739504366,4.505915972,-0.002051496,29.851108,-95.773611
96,2.343416206,10.41676165,0.583425047,6.269109283,-0.002055976,29.796238,-95.500348
97,2.316931201,10.14449507,0.578417193,5.96712609,-0.001831951,29.78962,-95.5139
98,2.189120665,8.927359523,0.647375817,5.50581512,-0.002237086,29.751207,-95.505614
