,logRMSE,RMSE,CC,MAE,Relative Bias,Y,X
83,2.657306313,14.25783119,0.576102245,8.386416416,-0.003211288,29.849395,-94.947525
84,2.535184379,12.61875727,0.352012529,6.067773612,-0.000529725,29.910874,-95.09085
85,2.346537619,10.44932747,0.440267754,5.565045839,0.001164728,30.066797,-95.098243
86,2.445556365,11.53696658,0.340747236,5.470139174,-0.002561139,29.76716,-95.728164
87,2.313840508,10.11318996,0.443291526,5.200079213,-0.001148509,29.785685,-95.827024
88,2.494576185,12.11659723,0.388209739,6.332700522,-0.001055245,29.831083,-95.836824
89,2.39356824,10.95250547,0.329300765,5.935521504,-0.000510981,29.888456,-95.940939
90,2.373908145,10.73928104,0.364612724,5.644053125,-0.000426173,29.883876,-95.634673
91,2.398119591,11.00246778,0.398645212,5.686070853,-0.001670077,29.895138,-95.696832
92,2.266431339,9.644919872,0.466974696,5.288053811,-0.001543986,29.802411,-95.703888
93,2.367495614,10.6706354,0.44927429,5.623753436,-0.001775665,29.816945,-95.74048
94,2.441465365,11.48986526,0.41828526,6.251932112,-0.001090915,29.875125,-95.769477
95,2.443787014,11.51657168,0.409454152,5.851110388,-0.001064195,29.851108,-95.773611
96,2.482749108,11.97413741,0.320820922,6.361550842,-0.000880453,29.796238,-95.500348
97,2.450158317,11.5901815,0.314403099,5.969695856,-0.000614938,29.78962,-95.5139
98,2.38710542,10.88194964,0.361076192,5.698762498,-0.000448563,29.751207,-95.505614
99,2.544399294,12.73557545,0.366587766,6.201809015,-0.001954969,29.778606,-95.570092
