nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
DDDEF0A6,ATBT2,TX,31.5042,-94.3042,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DE4AB456,ATHT2,TX,32.2106,-95.765,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
DD8AE2A8,ATIT2,TX,30.1778,-97.6883,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDCE2150,ATOT2,TX,31.5792,-95.1656,USGS01,HG,HG,PC,VB,,,,,,,,,,,,,,,,,,,,
8373C232,ATRT2,TX,26.2283,-97.3492,FWSBID,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
AAAFD098,AURT2,TX,30.1767,-97.8742,TXFSRA,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
324403FC,AUWT2,TX,30.0931,-97.9339,BLM001,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,,,,,,,,,,,,,,
DE12C222,AVLT2,TX,32.1644,-96.7619,USGS01,HG,PC,,,,,,,,,,,,,,,,,,,,,,
CE6831DC,AVOT2,TX,33.3911,-97.6339,CESWF1,PC,,,,,,,,,,,,,,,,,,,,,,,
D10573AA,AYIT2,TX,31.3961,-94.1508,USGS01,PC,HG,,,,,,,,,,,,,,,,,,,,,,
17B360CA,BACT2,TX,28.9739,-96.0122,USGS01,HG,PC,,,,,,,,,,,,,,,,,,,,,,
1717B5CE,BAHT2,TX,29.7694,-95.6431,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DE908DB6,BAKT2,TX,29.7697,-95.6469,USGS01,HP,HP,PC,HB,,,,,,,,,,,,,,,,,,,,
1786A464,BAMT2,TX,31.7492,-99.9475,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDED5120,BAPT2,TX,30.1025,-98.5106,USGS01,HG,HG,PC,,,,,,,,,,,,,,,,,,,,,
168623D2,BAST2,TX,30.4706,-97.7464,USGS01,HP,PC,,,,,,,,,,,,,,,,,,,,,,
DD64C5A6,BAWT2,TX,29.8083,-96.0956,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDD180A4,BBAT2,TX,29.8306,-95.6867,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDDCC0C8,BBCT2,TX,29.7228,-95.7669,USGS01,HG,PC,,,,,,,,,,,,,,,,,,,,,,
CE27A1F0,BBDT2,TX,32.0425,-96.9639,CESWF1,PC,,,,,,,,,,,,,,,,,,,,,,,
DE4C0716,BBHT2,TX,30.1906,-95.4911,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDD145BA,BBKT2,TX,29.7431,-95.8067,USGS01,HG,PC,,,,,,,,,,,,,,,,,,,,,,
1677C0CE,BBST2,TX,29.76,-95.4083,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17B3C032,BBZT2,TX,30.6267,-96.5439,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD420198,BCAT2,TX,33.4742,-97.8628,USGS01,HP,PC,,,,,,,,,,,,,,,,,,,,,,
DDD99774,BCBT2,TX,33.0731,-94.9653,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD8B10D6,BCCT2,TX,30.2633,-97.7719,USGS01,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
DDEC96C4,BCDT2,TX,30.1553,-97.9397,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD74D14E,BCET2,TX,30.4872,-97.8097,USGS01,HP,PC,,,,,,,,,,,,,,,,,,,,,,
1765E5EA,BCFT2,TX,31.0178,-97.5261,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
17B3052C,BCHT2,TX,32.7517,-97.2892,USGS01,HG,PC,,,,,,,,,,,,,,,,,,,,,,
