,50_rmse,50_cc,50_POD,50_FAR,50_CSI,75_rmse,75_cc,75_POD,75_FAR,75_CSI,95_rmse,95_cc,95_POD,95_FAR,95_CSI
"(66,107)",0.4652105753062451,0.44063065246305994,1.0,0.0,1.0,0.632207965680337,0.3882714095331767,1.0,0.0,1.0,0.9224465980033068,-0.1553002271409294,0.6666666666666666,0.5384615384615384,0.375
"(66,108)",0.4964716539393711,0.4334168290959173,1.0,0.0,1.0,0.653998709313087,0.4490789404742746,1.0,0.0,1.0,0.9446504174361849,-0.19814612747022037,0.5555555555555556,0.7058823529411765,0.23809523809523808
"(66,109)",0.4962636902565954,0.5006995042093214,1.0,0.0,1.0,0.6677137890871377,0.48576590559922744,1.0,0.0,1.0,0.9530432177098523,-0.040190015594682174,0.5555555555555556,0.7058823529411765,0.23809523809523808
"(66,110)",0.5413210436831101,0.5285485562319828,1.0,0.0,1.0,0.753141534012326,0.3927975150102666,1.0,0.0,1.0,1.134528399849087,0.05313671607881605,0.5555555555555556,0.6875,0.25
"(66,111)",0.6159812717348202,0.4952388710242371,1.0,0.0,1.0,0.8606747186274097,0.33594529122876926,1.0,0.6146788990825688,0.3853211009174312,1.3621170275002639,0.0691361035505417,0.5555555555555556,0.6875,0.25
"(66,112)",0.7555130987865184,0.4019059216547525,1.0,0.0,1.0,1.0594510635105918,0.171830396432225,1.0,0.6146788990825688,0.3853211009174312,1.8855693128423807,-0.5314222734710972,0.5555555555555556,0.6875,0.25
"(66,113)",0.8214190101816746,0.36818585359583,1.0,0.0,1.0,1.1524916758138413,0.11557638846528223,1.0,0.625,0.375,2.1795454941189742,-0.37641632051710416,0.6666666666666666,0.6842105263157895,0.2727272727272727
"(66,114)",0.688511058551865,0.48344335984270836,1.0,0.0,1.0,0.956496510952254,0.3038416623769635,1.0,0.5961538461538461,0.40384615384615385,1.7586585148199643,0.20448743632951966,0.6666666666666666,0.6666666666666666,0.2857142857142857
"(66,115)",0.6070706331952153,0.5713838779266117,1.0,0.0,1.0,0.8477934315398907,0.3939846361524659,1.0,0.5227272727272727,0.4772727272727273,1.3095249486200622,-0.36754480452768384,0.6666666666666666,0.625,0.3157894736842105
"(66,116)",0.6331458620589391,0.5877744388243463,1.0,0.0,1.0,0.8821378156530288,0.4447048767055299,1.0,0.5172413793103449,0.4827586206896552,1.2162453567390408,0.36853997569302027,0.6666666666666666,0.625,0.3157894736842105
"(66,117)",0.6856695232538352,0.5983086701430147,1.0,0.0,1.0,0.9299083060556234,0.5840610015217119,0.9285714285714286,0.4264705882352941,0.5492957746478874,1.325237595390351,0.5127028105176041,0.6666666666666666,0.6470588235294118,0.3
"(66,118)",0.7385834163587671,0.5988456719109969,1.0,0.0,1.0,1.01702203444087,0.5168128052377348,0.9761904761904762,0.4225352112676056,0.5694444444444444,1.5114442065683773,0.6357327719154324,0.6666666666666666,0.7391304347826086,0.23076923076923078
"(66,119)",0.8215655365662115,0.5785038263815797,1.0,0.0,1.0,1.1348445626516068,0.4380602550943286,0.9285714285714286,0.417910447761194,0.5571428571428572,1.7255614388824156,0.5642959122738626,0.7777777777777778,0.7083333333333334,0.2692307692307692
"(66,120)",0.8470200923892814,0.5837370685186521,1.0,0.0,1.0,1.1675860568273255,0.3950814044723335,0.9523809523809523,0.3103448275862069,0.6666666666666666,1.7386950408988384,0.423840318704592,0.7777777777777778,0.72,0.25925925925925924
"(66,121)",0.8356836646255783,0.5835508804185788,1.0,0.0,1.0,1.149840733565907,0.3623410311746938,0.9285714285714286,0.30357142857142855,0.6610169491525424,1.7237952605604805,0.3384557413889319,0.7777777777777778,0.72,0.25925925925925924
"(66,122)",0.8560311924012869,0.5650684103842758,1.0,0.0,1.0,1.1781465141693919,0.3132201093524875,0.9523809523809523,0.3442622950819672,0.6349206349206349,1.8590073085074366,0.37673366512804546,0.6666666666666666,0.7777777777777778,0.2
