,50_rmse,50_cc,50_POD,50_FAR,50_CSI,75_rmse,75_cc,75_POD,75_FAR,75_CSI,95_rmse,95_cc,95_POD,95_FAR,95_CSI
"(66,107)",0.4133992829720952,0.2876398623243794,1.0,0.060240963855421686,0.9397590361445783,0.4133992829720952,0.2876398623243794,1.0,0.060240963855421686,0.9397590361445783,1.2093167079352358,0.30046327186392774,1.0,0.7777777777777778,0.2222222222222222
"(66,108)",0.4203826831088369,0.2826259152811988,1.0,0.060240963855421686,0.9397590361445783,0.4203826831088369,0.2826259152811988,1.0,0.060240963855421686,0.9397590361445783,0.9759746765156723,0.26514930435193185,1.0,0.7,0.3
"(66,109)",0.43469362555011704,0.3058195110417114,1.0,0.04819277108433735,0.9518072289156626,0.43469362555011704,0.3058195110417114,1.0,0.04819277108433735,0.9518072289156626,0.7949163380561689,0.19755604090929293,1.0,0.5454545454545454,0.45454545454545453
"(66,110)",0.4756732953737058,0.31342532346046614,1.0,0.04819277108433735,0.9518072289156626,0.4756732953737058,0.31342532346046614,1.0,0.04819277108433735,0.9518072289156626,0.851867560824784,-0.05225638296248551,1.0,0.5555555555555556,0.4444444444444444
"(66,111)",0.5259388648782548,0.29689027383006533,1.0,0.04819277108433735,0.9518072289156626,0.5259388648782548,0.29689027383006533,1.0,0.04819277108433735,0.9518072289156626,0.8618854691856485,0.00887925672402605,1.0,0.6666666666666666,0.3333333333333333
"(66,112)",0.6133408922584703,0.2590236112827173,1.0,0.04819277108433735,0.9518072289156626,0.6133408922584703,0.2590236112827173,1.0,0.04819277108433735,0.9518072289156626,0.9192123783033628,-0.10908278127822306,1.0,0.5,0.5
"(66,113)",0.6508659463030475,0.2706315261505072,1.0,0.04819277108433735,0.9518072289156626,0.6508659463030475,0.2706315261505072,1.0,0.04819277108433735,0.9518072289156626,1.004772162337672,-0.20431208115866029,1.0,0.5,0.5
"(66,114)",0.5737644619791239,0.33405958852686135,1.0,0.04819277108433735,0.9518072289156626,0.5737644619791239,0.33405958852686135,1.0,0.04819277108433735,0.9518072289156626,0.8692796258295992,-0.07653551348267693,1.0,0.5,0.5
"(66,115)",0.5334616667480989,0.3781793708835013,1.0,0.05421686746987952,0.9457831325301205,0.5334616667480989,0.3781793708835013,1.0,0.05421686746987952,0.9457831325301205,0.8276568334801356,-0.11664961396041669,1.0,0.45454545454545453,0.5454545454545454
"(66,116)",0.5715268270823965,0.36644012311456464,1.0,0.060240963855421686,0.9397590361445783,0.5715268270823965,0.36644012311456464,1.0,0.060240963855421686,0.9397590361445783,0.950224814345819,-0.15245753806967566,1.0,0.5,0.5
"(66,117)",0.6058072046147623,0.4243593710860102,1.0,0.07228915662650602,0.927710843373494,0.6058072046147623,0.4243593710860102,1.0,0.07228915662650602,0.927710843373494,1.1933797345982777,-0.3627098194011756,1.0,0.4166666666666667,0.5833333333333334
"(66,118)",0.588309052538496,0.5457612250626572,1.0,0.0963855421686747,0.9036144578313253,1.0414930875084287,-0.10466023493045497,1.0,0.32,0.68,0.7890844824253977,-0.10893638295249468,1.0,0.6666666666666666,0.3333333333333333
"(66,119)",0.658735034275216,0.546458162396686,1.0,0.06626506024096386,0.9337349397590361,1.1694507813759818,-0.1125559494152656,1.0,0.2127659574468085,0.7872340425531915,0.8726558157340782,0.0035060506860320334,1.0,0.4444444444444444,0.5555555555555556
"(66,120)",0.6442182416228895,0.6043566353911058,1.0,0.08433734939759036,0.9156626506024096,1.1269978889796837,-0.1357886021385754,1.0,0.2857142857142857,0.7142857142857143,0.8580232163149961,-0.06545845688953782,1.0,0.5,0.5
"(66,121)",0.6211558594044393,0.634216974913947,1.0,0.0963855421686747,0.9036144578313253,1.123768704510663,-0.18420835734335117,1.0,0.29545454545454547,0.7045454545454546,0.902106430074761,-0.09704512002637503,1.0,0.6363636363636364,0.36363636363636365
"(66,122)",0.6039180039172972,0.6630216942305124,1.0,0.09036144578313253,0.9096385542168675,1.0634617284922798,-0.18021951380147835,1.0,0.2857142857142857,0.7142857142857143,0.6170769611453629,0.12874986520477472,1.0,0.7,0.3
"(66,123)",0.6265905140434942,0.6273587038118321,1.0,0.09036144578313253,0.9096385542168675,1.1447951110536065,-0.1952480788791476,1.0,0.28888888888888886,0.7111111111111111,0.6142380391756811,0.005503857425022879,1.0,0.7777777777777778,0.2222222222222222
"(66,124)",0.6606956257859932,0.5776371443806614,1.0,0.0963855421686747,0.9036144578313253,1.190654579807945,-0.18391948475736228,1.0,0.29545454545454547,0.7045454545454546,1.0995020360350038,-0.29449014656238576,1.0,0.75,0.25
"(66,125)",0.6688330691407871,0.6192838583916545,1.0,0.0783132530120482,0.9216867469879518,1.171830440155992,-0.029828544121736682,1.0,0.23255813953488372,0.7674418604651163,0.9585042211284218,-0.17825099642750272,1.0,0.5,0.5
"(66,126)",0.6860931714993879,0.6350718663208916,1.0,0.0783132530120482,0.9216867469879518,1.1717834097659532,0.11806983880256618,1.0,0.2222222222222222,0.7777777777777778,0.9834927865650308,-0.112924037980857,1.0,0.4166666666666667,0.5833333333333334
"(66,127)",0.6913124838820486,0.6689313978648315,1.0,0.08433734939759036,0.9156626506024096,1.1807505100767068,0.26634351042177445,1.0,0.2222222222222222,0.7777777777777778,1.0898391978893922,0.06111697721413097,1.0,0.25,0.75
"(66,128)",0.6997545493056933,0.7015955586242542,1.0,0.0783132530120482,0.9216867469879518,1.206861201233423,0.38389512622217165,1.0,0.2,0.8,1.1880329629936355,0.26112194421380674,1.0,0.2727272727272727,0.7272727272727273
"(66,129)",0.7014584425101318,0.7069903693894267,1.0,0.10843373493975904,0.891566265060241,1.200793806096785,0.42202122441559836,1.0,0.21739130434782608,0.782608695652174,1.3195878899314588,0.12169700674758276,1.0,0.3,0.7
"(66,130)",0.7251730081535366,0.6994648743597447,1.0,0.12650602409638553,0.8734939759036144,1.2699770677852358,0.40487564929950204,1.0,0.23255813953488372,0.7674418604651163,1.338944739675051,-0.15343693575539136,1.0,0.2222222222222222,0.7777777777777778
"(66,131)",0.7539217981433225,0.6570691250451802,1.0,0.12048192771084337,0.8795180722891566,1.2924698984387928,0.3469854132880673,1.0,0.24444444444444444,0.7555555555555555,1.2284557019853741,0.17549110232610632,1.0,0.3333333333333333,0.6666666666666666
"(66,132)",0.7383963541565608,0.6657522145667791,1.0,0.12048192771084337,0.8795180722891566,1.297486598174468,0.3386617233771121,1.0,0.3111111111111111,0.6888888888888889,1.2258289095786956,0.07638252404933565,1.0,0.4444444444444444,0.5555555555555556
"(66,133)",0.748538650989472,0.636048339080834,1.0,0.12048192771084337,0.8795180722891566,1.3687681443401711,0.2704561817959139,1.0,0.3333333333333333,0.6666666666666666,1.2900907647060365,-0.20576768918427113,1.0,0.5555555555555556,0.4444444444444444
"(66,134)",0.7226763358832174,0.6367405752987547,1.0,0.09036144578313253,0.9096385542168675,1.2076543367295498,0.3641079149164175,1.0,0.2708333333333333,0.7291666666666666,1.1867789118320315,0.11983194455268258,1.0,0.5454545454545454,0.45454545454545453
"(66,135)",0.7141049808370741,0.5929919860360471,1.0,0.0963855421686747,0.9036144578313253,1.1462515324750924,0.2836205408792509,1.0,0.28846153846153844,0.7115384615384616,1.2781706162251314,-0.3519069525787826,1.0,0.4444444444444444,0.5555555555555556
"(66,136)",0.7570695854307423,0.5346183775283476,1.0,0.0963855421686747,0.9036144578313253,1.3000842510644157,0.10707393617574923,1.0,0.3409090909090909,0.6590909090909091,1.6297638593146502,-0.4901120930043512,1.0,0.5555555555555556,0.4444444444444444
"(66,137)",0.8047170418849977,0.5063610586923152,1.0,0.10240963855421686,0.8975903614457831,1.3991646948990049,0.07479863826406848,1.0,0.3333333333333333,0.6666666666666666,1.9396918555310596,-0.5624113928797321,1.0,0.5555555555555556,0.4444444444444444
"(66,138)",0.8742450485132215,0.47278678716643124,1.0,0.10843373493975904,0.891566265060241,1.532578948357523,0.02899385197581591,1.0,0.28888888888888886,0.7111111111111111,2.2117658301848557,-0.5379025674924293,1.0,0.5555555555555556,0.4444444444444444
"(66,139)",0.9678568414111443,0.4419084486359392,1.0,0.09036144578313253,0.9096385542168675,1.6371974591763039,-0.0010923844165297732,1.0,0.23404255319148937,0.7659574468085106,2.325327350735772,-0.5874444092775678,1.0,0.5555555555555556,0.4444444444444444
"(66,140)",1.0673622955982052,0.4184185253804208,1.0,0.08433734939759036,0.9156626506024096,1.7669075663965441,-0.030377900855652236,1.0,0.2619047619047619,0.7380952380952381,2.4238050910814035,-0.6099010655394782,1.0,0.5555555555555556,0.4444444444444444
"(66,141)",1.1855168596630172,0.35017087008097525,1.0,0.07228915662650602,0.927710843373494,2.0533034625208675,-0.1506957692348765,1.0,0.20454545454545456,0.7954545454545454,2.6535449818206045,-0.5249005799120785,1.0,0.6666666666666666,0.3333333333333333
"(66,142)",1.2707718570083149,0.33741032923212605,1.0,0.07228915662650602,0.927710843373494,2.190580243330948,-0.14750575515724781,1.0,0.1956521739130435,0.8043478260869565,2.604093943955337,-0.5715438324834831,1.0,0.5,0.5
"(66,143)",1.2339719541773078,0.36507229351065806,1.0,0.07228915662650602,0.927710843373494,2.1292156455409494,-0.14330229087810947,1.0,0.1956521739130435,0.8043478260869565,2.629660971641304,-0.5883714056080339,1.0,0.5555555555555556,0.4444444444444444
"(66,144)",1.1759510010513576,0.38323542831496354,1.0,0.07228915662650602,0.927710843373494,1.9299504282637172,-0.1165009967113716,1.0,0.20454545454545456,0.7954545454545454,2.3025764554717494,-0.5761119032841293,1.0,0.5555555555555556,0.4444444444444444
"(66,145)",1.15139150205139,0.41372181558853016,1.0,0.07228915662650602,0.927710843373494,1.8596858142853634,-0.04041370149092722,1.0,0.2127659574468085,0.7872340425531915,2.2323129181565426,-0.5763776758159717,1.0,0.35714285714285715,0.6428571428571429
"(66,146)",1.2424871110710236,0.3791453695116507,1.0,0.03614457831325301,0.963855421686747,2.0758816769574557,-0.03497263951594725,1.0,0.13636363636363635,0.8636363636363636,2.4420746171058845,-0.5368996232003743,1.0,0.4444444444444444,0.5555555555555556
"(66,147)",1.284538473300501,0.39503385672133084,1.0,0.03614457831325301,0.963855421686747,2.0752216600721236,0.03550182994482495,1.0,0.13636363636363635,0.8636363636363636,2.430532779860674,-0.47036033817976686,1.0,0.4444444444444444,0.5555555555555556
"(66,148)",1.2912058814184963,0.4114292937367101,1.0,0.030303030303030304,0.9696969696969697,2.111727523411191,0.02117183494751941,1.0,0.11627906976744186,0.8837209302325582,2.514195455523123,-0.5069956999612771,1.0,0.4,0.6
"(66,149)",1.328572627286127,0.4065750079216812,1.0,0.030303030303030304,0.9696969696969697,2.1686581086194954,0.009019777338859362,1.0,0.11627906976744186,0.8837209302325582,2.5989999581483127,-0.49484672265181295,1.0,0.4,0.6
"(66,150)",1.4399317002810363,0.345253291908897,1.0,0.030303030303030304,0.9696969696969697,2.0689836155353034,0.14182033817252016,1.0,0.09433962264150944,0.9056603773584906,2.214197938875484,-0.1676135965948539,1.0,0.3,0.7
"(66,151)",1.638236464263173,0.2635304511054477,1.0,0.024390243902439025,0.975609756097561,1.638236464263173,0.2635304511054477,1.0,0.024390243902439025,0.975609756097561,2.1923329853171367,0.03692601451024868,1.0,0.3,0.7
"(66,152)",1.729393285830565,0.2790557048956498,1.0,0.024390243902439025,0.975609756097561,1.729393285830565,0.2790557048956498,1.0,0.024390243902439025,0.975609756097561,2.0661318288245836,0.1726437709339372,1.0,0.25,0.75
"(66,153)",,,,,,,,,,,,,,,
"(66,154)",,,,,,,,,,,,,,,
"(66,155)",,,,,,,,,,,,,,,
"(66,156)",,,,,,,,,,,,,,,
"(66,157)",,,,,,,,,,,,,,,
"(66,158)",1.7378304229562875,,1.0,0.0,1.0,1.7378304229562875,,1.0,0.0,1.0,1.7378304229562875,,1.0,0.0,1.0
"(66,159)",1.738127282808914,,1.0,0.0,1.0,1.738127282808914,,1.0,0.0,1.0,1.738127282808914,,1.0,0.0,1.0
"(66,160)",1.7295696186187204,,1.0,0.0,1.0,1.7295696186187204,,1.0,0.0,1.0,1.7295696186187204,,1.0,0.0,1.0
"(66,161)",2.0563796423343716,0.6067457618963621,1.0,0.0,1.0,2.0563796423343716,0.6067457618963621,1.0,0.0,1.0,3.6938120588783026,-0.1619670862723989,1.0,0.0,1.0
"(66,162)",2.0051287278695145,0.6389512976632146,1.0,0.0,1.0,2.0051287278695145,0.6389512976632146,1.0,0.0,1.0,3.9272846950343596,-0.18665504392181334,1.0,0.0,1.0
"(66,163)",2.019992720257162,0.7234694311135365,1.0,0.10303030303030303,0.896969696969697,2.9202998233877944,0.7830438230965351,1.0,0.2916666666666667,0.7083333333333334,4.878673551070387,0.2080839605057349,1.0,0.0,1.0
"(66,164)",2.094974576675207,0.7223868209474221,1.0,0.16363636363636364,0.8363636363636363,3.163303219402735,0.8246939558053216,1.0,0.4186046511627907,0.5813953488372093,6.288901265545727,0.6516346535744398,1.0,0.1111111111111111,0.8888888888888888
"(66,165)",2.6408994257669107,0.687130892992598,1.0,0.1696969696969697,0.8303030303030303,4.314559281700232,0.7714475079040334,1.0,0.4418604651162791,0.5581395348837209,8.593973528164954,0.7779781392218923,1.0,0.2,0.8
"(66,166)",2.6890124864756646,0.7086069956138812,1.0,0.1696969696969697,0.8303030303030303,4.454425532943089,0.7758280551470532,1.0,0.4418604651162791,0.5581395348837209,8.490713686908542,0.7199404128472109,1.0,0.18181818181818182,0.8181818181818182
"(66,167)",2.7084088367622616,0.6846939642781766,1.0,0.1696969696969697,0.8303030303030303,4.55072863383774,0.7321491413217027,1.0,0.4418604651162791,0.5581395348837209,9.442963102010367,0.7777403502705575,1.0,0.2222222222222222,0.7777777777777778
"(66,168)",2.363449658297844,0.6797292795163593,1.0,0.20606060606060606,0.793939393939394,3.8319864823633476,0.7131479455842683,1.0,0.5476190476190477,0.4523809523809524,7.2199390422850795,0.8719750371298538,1.0,0.4444444444444444,0.5555555555555556
"(66,169)",2.683185543788311,0.5521104281009304,1.0,0.40229885057471265,0.5977011494252874,3.1112466117280424,0.6546476976564305,1.0,0.5476190476190477,0.4523809523809524,4.631009969670167,0.7724126580650019,1.0,0.3333333333333333,0.6666666666666666
"(66,170)",2.3813788742648465,0.48506745219007946,1.0,0.41379310344827586,0.5862068965517241,2.616497423739086,0.5566416016455034,1.0,0.5681818181818182,0.4318181818181818,2.722827263338188,0.5935789025687433,1.0,0.3333333333333333,0.6666666666666666
"(66,171)",2.131519062604392,0.47612708949739657,1.0,0.39080459770114945,0.6091954022988506,2.3158621237477117,0.5522132432978265,1.0,0.5681818181818182,0.4318181818181818,2.0401231181677155,0.6568322100689776,1.0,0.4,0.6
"(66,172)",1.9372429055876337,0.4639236589209745,1.0,0.40229885057471265,0.5977011494252874,2.116589878112021,0.5501540511832508,1.0,0.6046511627906976,0.3953488372093023,1.7496626230891301,0.5979878046059384,1.0,0.5555555555555556,0.4444444444444444
"(66,173)",1.8747605584560423,0.47010945847215424,1.0,0.44047619047619047,0.5595238095238095,2.0191570447131792,0.5861918637733203,1.0,0.6046511627906976,0.3953488372093023,2.3068583435338104,0.004894759398988563,1.0,0.45454545454545453,0.5454545454545454
"(66,174)",1.8405821894212486,0.4824022532715191,1.0,0.4578313253012048,0.5421686746987951,1.988099815972233,0.6163906088091395,1.0,0.6428571428571429,0.35714285714285715,2.281828371072631,0.1124081661471706,1.0,0.5555555555555556,0.4444444444444444
