,50_rmse,50_cc,50_POD,50_FAR,50_CSI,75_rmse,75_cc,75_POD,75_FAR,75_CSI,95_rmse,95_cc,95_POD,95_FAR,95_CSI
"(66,107)",0.4133992829720952,0.2876398623243794,0.2891566265060241,0.07692307692307693,0.2823529411764706,0.4133992829720952,0.2876398623243794,0.21428571428571427,0.25,0.2,1.2093167079352358,0.30046327186392774,0.0,1.0,0.0
"(66,108)",0.4203826831088369,0.2826259152811988,0.2891566265060241,0.07692307692307693,0.2823529411764706,0.4203826831088369,0.2826259152811988,0.21428571428571427,0.3076923076923077,0.1956521739130435,0.9759746765156723,0.26514930435193185,0.0,1.0,0.0
"(66,109)",0.43469362555011704,0.3058195110417114,0.3132530120481928,0.0,0.3132530120481928,0.43469362555011704,0.3058195110417114,0.21428571428571427,0.3076923076923077,0.1956521739130435,0.7949163380561689,0.19755604090929293,0.0,1.0,0.0
"(66,110)",0.4756732953737058,0.31342532346046614,0.27710843373493976,0.0,0.27710843373493976,0.4756732953737058,0.31342532346046614,0.23809523809523808,0.23076923076923078,0.2222222222222222,0.851867560824784,-0.05225638296248551,0.0,1.0,0.0
"(66,111)",0.5259388648782548,0.29689027383006533,0.30120481927710846,0.0,0.30120481927710846,0.5259388648782548,0.29689027383006533,0.2619047619047619,0.21428571428571427,0.24444444444444444,0.8618854691856485,0.00887925672402605,0.0,1.0,0.0
"(66,112)",0.6133408922584703,0.2590236112827173,0.3132530120481928,0.0,0.3132530120481928,0.6133408922584703,0.2590236112827173,0.2857142857142857,0.2,0.26666666666666666,0.9192123783033628,-0.10908278127822306,0.0,1.0,0.0
"(66,113)",0.6508659463030475,0.2706315261505072,0.3132530120481928,0.0,0.3132530120481928,0.6508659463030475,0.2706315261505072,0.30952380952380953,0.1875,0.28888888888888886,1.004772162337672,-0.20431208115866029,0.0,,0.0
"(66,114)",0.5737644619791239,0.33405958852686135,0.3132530120481928,0.0,0.3132530120481928,0.5737644619791239,0.33405958852686135,0.30952380952380953,0.1875,0.28888888888888886,0.8692796258295992,-0.07653551348267693,0.0,1.0,0.0
"(66,115)",0.5334616667480989,0.3781793708835013,0.3132530120481928,0.0,0.3132530120481928,0.5334616667480989,0.3781793708835013,0.3333333333333333,0.125,0.3181818181818182,0.8276568334801356,-0.11664961396041669,0.0,1.0,0.0
"(66,116)",0.5715268270823965,0.36644012311456464,0.3132530120481928,0.0,0.3132530120481928,0.5715268270823965,0.36644012311456464,0.2857142857142857,0.2,0.26666666666666666,0.950224814345819,-0.15245753806967566,0.0,1.0,0.0
